"year","make","model"
"2015","KAWASAKI","ZX1000 NINJA ZX-10R ABS 30TH ANNIVE"
"2015","KAWASAKI","ZX636 NINJA ZX-6R 30TH ANNIVERSARY"
"2015","KAWASAKI","ZX636 NINJA ZX-6R ABS 30TH ANNIVERS"
"2015","KENWORTH","T170"
"2015","KENWORTH","T270"
"2015","KENWORTH","T370"
"2015","KENWORTH","T660"
"2015","KENWORTH","T680"
"2015","KENWORTH","T700"
"2015","KENWORTH","T800"
"2015","KENWORTH","T880"
"2015","KIA","CADENZA"
"2015","KIA","FORTE"
"2015","KIA","FORTE KOUP"
"2015","KIA","K900"
"2015","KIA","OPTIMA"
"2015","KIA","RIO"
"2015","KIA","RONDO"
"2015","KIA","SEDONA"
"2015","KIA","SORENTO"
"2015","KIA","SOUL"
"2015","KIA","SOUL EV"
"2015","KIA","SPORTAGE"
"2015","LAND ROVER","DEFENDER"
"2015","LAND ROVER","DISCOVERY"
"2015","LAND ROVER","LR2"
"2015","LAND ROVER","LR4"
"2015","LAND ROVER","RANGE ROVER"
"2015","LAND ROVER","RANGE ROVER EVOQUE"
"2015","LAND ROVER","RANGE ROVER SPORT"
"2015","LEXUS","CT200H"
"2015","LEXUS","ES300H"
"2015","LEXUS","ES350"
"2015","LEXUS","GS350"
"2015","LEXUS","GS450H"
"2015","LEXUS","GX460"
"2015","LEXUS","IS250"
"2015","LEXUS","IS350"
"2015","LEXUS","LS460"
"2015","LEXUS","LS600H"
"2015","LEXUS","LX570"
"2015","LEXUS","NX200T"
"2015","LEXUS","NX300H"
"2015","LEXUS","RC F"
"2015","LEXUS","RC350"
"2015","LEXUS","RX350"
"2015","LEXUS","RX450H"
"2015","LINCOLN","MKC"
"2015","LINCOLN","MKS"
"2015","LINCOLN","MKT"
"2015","LINCOLN","MKX"
"2015","LINCOLN","MKZ"
"2015","LINCOLN","NAVIGATOR"
"2015","MACK","CHU"
"2015","MACK","CXU"
"2015","MACK","GU4"
"2015","MACK","GU5"
"2015","MACK","GU7"
"2015","MACK","GU8"
"2015","MACK","LEU"
"2015","MACK","MRU"
"2015","MACK","TD700"
"2015","MASERATI","GRANTURISMO"
"2015","MAZDA","2"
"2015","MAZDA","3"
"2015","MAZDA","5"
"2015","MAZDA","6"
"2015","MAZDA","CX-5"
"2015","MAZDA","CX-9"
"2015","MAZDA","MX-5"
"2015","MAZDA","MX-5 MIATA"
"2015","MERCEDES-BENZ","A180"
"2015","MERCEDES-BENZ","A200"
"2015","MERCEDES-BENZ","A45 AMG"
"2015","MERCEDES-BENZ","B ELECTRIC DRIVE"
"2015","MERCEDES-BENZ","B180"
"2015","MERCEDES-BENZ","B250"
"2015","MERCEDES-BENZ","C250"
"2015","MERCEDES-BENZ","C300"
"2015","MERCEDES-BENZ","C350"
"2015","MERCEDES-BENZ","C400"
"2015","MERCEDES-BENZ","C63 AMG"
"2015","MERCEDES-BENZ","CLA200"
"2015","MERCEDES-BENZ","CLA250"
"2015","MERCEDES-BENZ","CLA45 AMG"
"2015","MERCEDES-BENZ","CLS400"
"2015","MERCEDES-BENZ","CLS550"
"2015","MERCEDES-BENZ","CLS63 AMG"
"2015","MERCEDES-BENZ","CLS63 AMG S"
"2015","MERCEDES-BENZ","E250"
"2015","MERCEDES-BENZ","E300"
"2015","MERCEDES-BENZ","E350"
